"keyPhotoID","OutcropPhoto","Photomicrograph","CLImage","OtherImage","TSOverview","OtherDocument","WayptIDKey","MacrostructureID","SampleIDKey","TSDescID","PhotoLinkRelative2"
1648,0,0,0,0,0,0,0,265,230,0,"\Photos\USTProject\Summer2018\17-WB-2A\17_wb_2a_thick.jpg"
1649,0,0,0,0,0,0,0,265,230,0,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_Thin.jpg"
1650,0,1,0,0,0,0,0,0,230,188,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_4x_1mm 2.jpg"
1651,0,1,0,0,0,0,0,0,230,188,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_4x_1mm 3.jpg"
1652,0,1,0,0,0,0,0,0,230,188,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_4x_1mm 4.jpg"
1653,0,1,0,0,0,0,0,0,230,188,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_4x_1mm.jpg"
1654,0,1,0,0,0,0,0,0,230,188,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_20x_0_1mm 2.jpg"
1655,0,1,0,0,0,0,0,0,230,188,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_20x_0_1mm 3.jpg"
1656,0,1,0,0,0,0,0,0,230,188,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_20x_0_1mm.jpg"
1657,0,1,0,0,0,0,0,0,234,189,"\Photos\USTProject\Summer2018\17-WB-4A\17-WB-4A_4x_1mm 3.jpg"
1658,0,1,0,0,0,0,0,0,234,189,"\Photos\USTProject\Summer2018\17-WB-4A\17-WB-4A_4x_1mm.jpg"
1659,0,1,0,0,0,0,0,0,234,189,"\Photos\USTProject\Summer2018\17-WB-4A\17-WB-4A_20x_0_1mm 2.jpg"
1660,0,1,0,0,0,0,0,0,234,189,"\Photos\USTProject\Summer2018\17-WB-4A\17-WB-4A_20x_0_1mm.jpg"
1661,0,0,1,0,1,0,0,267,234,0,"\Photos\USTProject\Summer2018\17-WB-4A\17_WB_4A_CL.JPG"
1662,0,0,0,0,1,0,0,267,234,0,"\Photos\USTProject\Summer2018\17-WB-4A\17_WB_4A_NoCL.JPG"
1663,0,0,0,0,1,0,0,267,234,0,"\Photos\USTProject\Summer2018\17-WB-4A\17_wb_4a_thick.jpg"
1664,0,0,0,0,1,0,0,267,234,0,"\Photos\USTProject\Summer2018\17-WB-4A\17_WB_4A_Thin.jpg"
1665,0,0,1,0,0,0,0,0,244,190,"\Photos\USTProject\Summer2018\17-WB-7A\17_WB_7A_CL.JPG"
1666,0,0,1,0,0,0,0,0,244,190,"\Photos\USTProject\Summer2018\17-WB-7A\17_WB_7A_NoCL.JPG"
1667,0,0,0,0,1,0,0,0,244,190,"\Photos\USTProject\Summer2018\17-WB-7A\17_wb_7a_thick.jpg"
1668,0,0,0,0,1,0,0,0,244,190,"\Photos\USTProject\Summer2018\17-WB-7A\17_WB_7A_Thin.jpg"
1669,0,1,0,0,0,0,0,0,54,191,"\Photos\USTProject\Summer2018\HS-15-STR-15\HS-15-STR-15-4X-2.jpg"
1670,0,1,0,0,0,0,0,0,54,191,"\Photos\USTProject\Summer2018\HS-15-STR-15\HS-15-STR-15-4X-3.jpg"
1671,0,1,0,0,0,0,0,0,54,191,"\Photos\USTProject\Summer2018\HS-15-STR-15\HS-15-STR-15-4X-3a.jpg"
1672,0,1,0,0,0,0,0,0,54,191,"\Photos\USTProject\Summer2018\HS-15-STR-15\HS-15-STR-15-4X-4.jpg"
1673,0,1,0,0,0,0,0,0,54,191,"\Photos\USTProject\Summer2018\HS-15-STR-15\HS-15-STR-15-4X-4a.jpg"
1674,0,1,0,0,0,0,0,0,54,191,"\Photos\USTProject\Summer2018\HS-15-STR-15\HS-15-STR-15-4X-5a.jpg"
1675,0,1,0,0,0,0,0,0,54,191,"\Photos\USTProject\Summer2018\HS-15-STR-15\HS-15-STR-15-4X-5b.jpg"
1676,0,1,0,0,0,0,0,0,54,191,"\Photos\USTProject\Summer2018\HS-15-STR-15\HS-15-STR-15-4X-6.jpg"
1461,0,0,0,0,1,0,802,274,157,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_100_Thin.jpg"
1462,0,0,0,0,1,0,803,275,255,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_101_thick.jpg"
1463,0,0,0,0,1,0,803,275,255,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_101_Thin.jpg"
1464,0,0,0,0,1,0,808,276,256,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_102_thick.jpg"
1465,0,0,0,0,1,0,808,276,256,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_102_Thin.jpg"
1466,0,0,0,0,1,0,809,290,256,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_103_thick.jpg"
1467,0,0,0,0,1,0,809,290,256,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_103_Thin.jpg"
1468,0,0,0,0,1,0,825,277,258,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_104a_thick.jpg"
1469,0,0,0,0,1,0,825,277,258,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_104A_Thin.jpg"
1470,0,0,0,0,1,0,825,277,259,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_104B_NoCL.JPG"
1471,0,0,0,0,1,0,825,277,259,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_104b_thick.jpg"
1472,0,0,0,0,1,0,825,277,259,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_104B_Thin.jpg"
